20180621182844	0.00	0.00	0.00	0.00
20180621182845	0.00	0.00	0.00	0.00
20180621182846	0.00	0.00	0.00	0.00
20180621182853	0.00	0.00	0.00	0.00
20180621182854	0.00	0.00	0.00	0.00
20180621182855	0.00	0.00	0.00	0.00
20180621182856	0.00	0.00	0.00	0.00
20180621182857	0.00	0.00	0.00	0.00
20180621182858	0.00	0.00	0.00	0.00
20180621182859	0.00	0.00	0.00	0.00
20180621182900	0.00	0.00	0.00	0.00
20180621182901	0.00	0.00	0.00	0.00
20180621182905	0.00	0.00	0.00	0.00
20180621182906	0.00	0.00	0.00	0.00
20180621182909	0.00	0.00	0.00	0.00
20180621182910	0.00	0.00	0.00	0.00
20180621183018	0.00	0.00	0.00	0.00
20180621183019	0.00	0.00	0.00	0.00
20180621183020	0.00	0.00	0.00	0.00
