QCA,128.143.102.232,9326
PDP,128.143.102.232,9327
TEB,128.143.102.232,9328
TCL,128.143.102.232,9329
OLA,128.143.102.232,9330
SMC,128.143.100.100,9331
TTM,128.143.100.100,9332
EDL,128.143.102.232,9333
MWC,128.143.102.232,9334
EDR,128.143.102.232,9335
HAL,128.143.102.232,9336
SCM,128.143.100.100,9337
