20171116154150	0.60	746.00	-9.68	753.50
20171116154151	0.60	746.00	-9.68	753.50
20171116154152	0.60	746.00	-9.68	753.50
20171116154153	0.60	746.00	-9.68	753.50
20171116154154	0.60	746.00	-9.68	753.50
20171116154155	0.60	746.00	-9.68	753.50
20171116154156	0.60	745.90	-9.68	753.50
20171116154157	0.60	745.90	-9.68	753.50
20171116154158	0.10	745.90	-9.67	753.50
20171116154214	0.20	746.40	-9.68	753.20
20171116154215	0.10	746.50	-9.69	753.20
20171116154216	0.10	746.50	-9.69	753.20
20171116154217	0.20	746.50	-9.69	753.20
20171116154218	0.20	746.50	-9.69	753.20
20171116154219	0.20	746.50	-9.68	753.20
20171116154220	0.20	746.50	-9.68	753.20
20171116154221	0.20	746.50	-9.69	753.20
20171116154222	0.20	746.50	-9.69	753.20
20171116154223	0.20	746.50	-9.69	753.30
20171116154224	0.10	746.50	-9.68	753.30
20171116154233	0.10	746.40	-9.69	753.30
20171116154234	0.20	746.40	-9.69	753.30
20171116154235	0.20	746.40	-9.69	753.30
20171116154236	0.20	746.40	-9.68	753.30
20171116154237	0.20	746.40	-9.68	753.30
20171116154238	0.20	746.50	-9.68	753.30
20171116154239	0.20	746.50	-9.68	753.30
20171116154240	0.20	746.50	-9.68	753.20
20171116154241	0.20	746.50	-9.68	753.20
20171116154242	0.10	746.50	-9.68	753.20
20171116154246	0.10	746.40	-9.67	753.30
20171116154247	0.20	746.40	-9.68	753.30
20171116154248	0.20	746.50	-9.68	753.20
20171116154249	0.20	746.50	-9.68	753.20
20171116154250	0.20	746.40	-9.68	753.20
20171116154251	0.20	746.40	-9.68	753.20
20171116154252	0.20	746.40	-9.68	753.20
20171116154253	0.20	746.50	-9.68	753.20
20171116154254	0.20	746.50	-9.68	753.20
20171116154255	0.10	746.40	-9.68	753.30
20171116154256	0.10	746.40	-9.68	753.30
